,Gebietsnummer,Anteil Deutsche Bevölkerung 2013,Anteil Nichtdeutsche EU Bevölkerung 2013,Anteil Nichtdeutsche nicht EU Bevölkerung 2013,Anteil Migrationshintergrund Bevölkerung 2013,Anteil Verheiratete Bevölkerung 2013,Anteil 18 - 24 Jährige Wahlberechtigte 2013,Anteil 25 - 34 Jährige Wahlberechtigte 2013,Anteil 35 - 44 Jährige Wahlberechtigte 2013,Anteil 45 - 59 Jährige Wahlberechtigte 2013,Anteil 60 Jährige und ältere Wahlberechtigte 2013,Anteil Einpersonenhaushalte 2013,Anteil Haushalte mit Kind(ern) 2013,SV-Beschäftigtendichte 2013,Arbeitslosendichte 2013,ALG II - Empfängerdichte 2013
118,12020,0.8275543226999541,0.11696717521960198,0.0554785020804438,0.29172445677299996,0.34442903374942196,0.0890454836643178,0.17809096732863602,0.15695067264573997,0.233824471492633,0.342088404868674,0.624907338769459,0.124536693847294,0.507,0.028,0.039
119,12021,0.8168293816829381,0.11157601115760099,0.0715946071594607,0.30032543003254303,0.332868433286843,0.0671591672263264,0.21356615177971802,0.192746809939557,0.23371390194761604,0.29281396910678303,0.6174603174603179,0.15,0.507,0.028,0.039
120,12022,0.825525812619503,0.11089866156787799,0.0635755258126195,0.29588910133843205,0.269598470363289,0.132381570408825,0.266060999351071,0.160934458144062,0.18105126541207,0.259571706683971,0.658920539730135,0.0997001499250375,0.507,0.028,0.039
121,12023,0.748876909254268,0.16127583108715196,0.0898472596585804,0.34950584007187796,0.265049415992812,0.113545816733068,0.270252324037185,0.19654714475431603,0.21049136786188602,0.20916334661354602,0.684568835098336,0.0922844175491679,0.507,0.028,0.039
122,12024,0.806650831353919,0.127315914489311,0.0660332541567696,0.307838479809976,0.318764845605701,0.0905377808032675,0.257317903335602,0.183798502382573,0.257998638529612,0.210347174948945,0.6219512195121949,0.128048780487805,0.507,0.028,0.039
123,12025,0.8520599250936329,0.0903558052434457,0.0575842696629214,0.24438202247191002,0.34129213483146104,0.08268733850129201,0.21834625322997397,0.161498708010336,0.233204134366925,0.304263565891473,0.61603700848111,0.141865844255975,0.507,0.028,0.039
124,12026,0.7754923413566741,0.142669584245077,0.0818380743982495,0.328665207877462,0.339606126914661,0.0689428759028234,0.22521339461589002,0.19697964543663798,0.22652659225213398,0.28233749179251505,0.6424028268551241,0.12791519434628998,0.507,0.028,0.039
125,12027,0.79848628192999,0.12298959318826899,0.0785241248817408,0.33112582781457,0.322611163670766,0.0814332247557003,0.24690553745928304,0.154397394136808,0.21498371335504898,0.30228013029316,0.648134601316752,0.0899780541331382,0.507,0.028,0.039
126,12028,0.796287913082843,0.136713444997737,0.0669986419194206,0.322770484382073,0.331371661385242,0.082109479305741,0.25433911882509996,0.19893190921228301,0.21562082777036,0.24899866488651504,0.617274758004468,0.142963514519732,0.507,0.028,0.039
127,12029,0.784677015523285,0.125688532799199,0.0896344516775163,0.326489734601903,0.314972458688032,0.09287709497206699,0.259078212290503,0.150139664804469,0.183659217877095,0.314245810055866,0.662870159453303,0.082004555808656,0.507,0.028,0.039
128,12030,0.8060941828254851,0.106371191135734,0.0875346260387812,0.37340720221606605,0.33351800554016603,0.0960912052117264,0.19381107491856697,0.196254071661238,0.270358306188925,0.24348534201954397,0.572967678746327,0.17335945151812,0.507,0.028,0.039
