,Gebietsnummer,Anzahl Einwohner,Anteil Deutsche,Anteil EU-Ausländer,Anteil Nicht EU-Ausländer,Anteil Migrationshintergrund,Anteil Ledige,Anteil Verheiratete,Anteil Deutsche W,Anteil EU-Ausländer W,Anteil 18-24-Jährige,Anteil 25-34-Jährige,Anteil 35-44-Jährige,Anteil 45-59-Jährige,Anteil 60-Jährige und Ältere,Anteil Einpersonenhaushalten,Anteil Haushalte mit Kindern,Wohndauer in München,SV-Beschäftigtendichte,Arbeitslosendichte,Erwerbsfähige Leistungsberechtigtendichte
573,24001,3705,52.6,35.8,11.7,65.2,45.6,44.0,55.3,44.7,10.4,19.4,19.9,31.4,18.9,51.6,19.4,15.9,61.9,3.6,6.5
574,24002,2413,76.5,13.6,9.9,35.8,43.8,45.6,83.8,16.2,8.8,15.6,17.6,30.7,27.3,38.8,24.4,23.0,61.9,3.6,6.5
575,24003,2619,76.7,15.5,7.8,38.1,46.6,43.8,80.7,19.3,10.2,18.9,19.2,25.8,25.9,43.1,22.3,22.4,61.9,3.6,6.5
576,24004,2616,74.7,12.8,12.4,43.1,47.3,42.7,83.6,16.4,10.6,17.1,19.2,27.8,25.3,42.3,23.0,21.5,61.9,3.6,6.5
577,24005,2327,86.4,7.3,6.4,26.0,42.6,47.0,91.5,8.5,8.0,11.6,14.9,35.2,30.2,39.5,27.0,23.9,61.9,3.6,6.5
578,24006,2407,87.1,7.3,5.6,26.6,46.0,46.8,90.5,9.5,8.3,12.2,18.9,37.2,23.4,33.4,34.1,20.8,61.9,3.6,6.5
579,24007,2371,71.3,17.1,11.6,45.8,42.0,45.8,79.4,20.6,8.4,15.9,14.5,26.8,34.4,48.4,17.0,24.4,61.9,3.6,6.5
580,24008,2790,68.9,12.9,18.1,56.2,42.5,42.7,82.5,17.5,8.7,17.7,17.4,23.8,32.3,46.4,22.3,22.9,61.9,3.6,6.5
581,24009,2627,65.2,15.5,19.3,52.8,39.6,44.3,80.6,19.4,8.7,16.1,12.1,22.2,40.9,47.4,17.3,25.3,61.9,3.6,6.5
582,24010,3270,62.8,14.0,23.2,58.0,45.9,41.2,79.9,20.1,11.1,17.2,15.4,26.6,29.6,44.2,24.4,23.4,61.9,3.6,6.5
583,24011,3640,58.3,14.3,27.4,69.2,46.6,37.6,76.2,23.8,9.5,19.4,17.9,27.2,25.9,45.4,28.2,20.9,61.9,3.6,6.5
584,24012,4023,53.5,14.7,31.8,71.7,47.7,39.0,73.7,26.3,12.4,16.6,16.3,24.9,29.9,43.7,26.5,21.9,61.9,3.6,6.5
585,24013,3150,59.7,15.3,25.0,62.3,45.6,37.8,76.7,23.3,9.3,18.7,14.9,23.6,33.4,50.8,21.2,22.5,61.9,3.6,6.5
586,24014,3696,52.5,19.6,27.9,69.9,42.6,44.0,71.5,28.5,9.9,19.7,15.8,22.2,32.4,44.8,24.1,21.8,61.9,3.6,6.5
587,24015,2688,66.0,15.4,18.6,53.6,37.3,40.3,80.9,19.1,6.5,14.8,11.6,18.3,48.8,49.0,19.2,24.8,61.9,3.6,6.5
588,24016,2676,63.6,15.2,21.1,58.0,37.9,46.1,80.0,20.0,8.0,15.7,12.6,22.5,41.1,47.7,17.3,26.0,61.9,3.6,6.5
589,24017,2390,71.4,12.5,16.1,45.9,39.2,44.9,84.6,15.4,7.8,15.1,13.8,24.9,38.4,48.2,16.7,26.2,61.9,3.6,6.5
590,24018,2752,68.5,12.5,19.1,57.5,41.8,45.5,82.8,17.2,9.6,16.1,14.1,23.2,36.9,39.6,23.7,23.2,61.9,3.6,6.5
591,24019,2813,69.4,17.5,13.2,44.2,46.8,42.7,78.2,21.8,10.3,17.1,16.9,29.4,26.3,46.3,22.5,20.8,61.9,3.6,6.5
592,24020,2318,79.9,10.0,10.1,36.5,44.0,45.0,88.4,11.6,7.0,17.7,16.8,29.6,28.9,42.4,24.8,23.9,61.9,3.6,6.5
593,24021,2279,78.5,12.9,8.5,36.2,44.8,46.1,84.8,15.2,8.2,17.7,17.7,30.1,26.3,45.3,20.8,23.0,61.9,3.6,6.5
594,24022,2184,79.7,12.3,8.0,36.2,42.3,45.1,85.5,14.5,9.3,17.0,13.1,24.3,36.2,46.5,16.2,27.3,61.9,3.6,6.5
