Gebietsnummer,CSU,SPD,GRÜNE,FDP,AfD,DIE LINKE
12027,26.50602,16.69535,19.62134,17.2117,7.57315,8.95009
12028,27.25948,16.32653,24.4898,14.8688,5.97668,7.87172
12029,26.0,15.33333,16.33333,22.0,7.66667,7.83333
12030,24.54212,19.04762,18.49817,15.93407,8.97436,8.97436
12031,23.96576,19.11555,17.97432,11.69757,13.12411,9.98573
24001,25.90909,16.51515,14.54545,10.60606,18.63636,6.9697
24002,41.95046,12.2291,8.51393,10.68111,15.17028,5.72755
24003,35.20599,14.60674,13.48315,13.60799,13.10861,5.24345
24004,29.8984,16.69086,13.06241,15.23948,9.14369,9.43396
24005,33.85542,11.92771,17.59036,16.62651,10.0,6.0241
24006,28.86978,11.91646,20.27027,17.56757,11.79361,5.28256
24007,31.24019,20.72214,11.30298,9.89011,13.18681,7.53532
24008,35.48387,19.35484,8.94428,9.38416,12.31672,8.35777
24009,30.94512,19.96951,8.9939,10.51829,14.48171,9.14634
24010,27.07993,21.37031,9.95106,6.03589,17.29201,9.6248
24011,23.3564,25.60554,4.67128,4.84429,23.87543,9.51557
24012,27.70642,23.66972,5.68807,4.77064,23.11927,8.99083
24013,24.13793,24.13793,5.62613,5.80762,19.60073,10.52632
24014,27.74086,23.25581,6.64452,8.80399,18.60465,9.80066
24015,34.08769,20.36775,7.63791,8.62801,15.70014,8.76945
24016,32.62317,20.50599,6.9241,9.45406,15.17976,9.98668
24017,30.15152,19.69697,7.72727,10.75758,14.09091,9.84848
24018,27.1722,24.17062,10.42654,7.109,15.95577,8.84676
24019,27.93893,17.8626,14.96183,14.96183,12.21374,5.9542
24020,39.00135,13.22537,13.36032,11.06613,13.22537,6.47773
24021,32.88591,15.97315,11.81208,17.98658,9.66443,4.96644
24022,33.08824,18.38235,11.76471,10.0,13.82353,6.02941
